"Period","Forecast","Lo80","Hi80","Lo95","Hi95"
1,181.86,124.96,238.76,94.84,268.88
2,186.68,129.77,243.59,99.64,273.72
3,191.49,134.56,248.43,104.42,278.57
4,196.31,139.33,253.29,109.16,283.46
5,201.13,144.07,258.18,113.87,288.38
6,205.94,148.79,263.1,118.53,293.35
